Statistical information for the repository 'jquery' was gathered on 2026/09/08.
The analyzed branch was 'main'.
The following historical commit information, by author, was found in the
repository:

Author                     Commits    Insertions      Deletions    % of changes
Rich Dougherty                                                 .            
Robert Katić                                               --+++          . 
Scott González                                                 .            
TJ Holowaychuk                                      .                       
Yehuda Katz                              +                     .          . 
Modified Lines:              30       1929       8096        702       4262 

Author                  2010-01    2010-02    2010-03    2010-04    2010-06 
Adam J. Sontag                                                            . 
Ben Alman                     .          .                                  
Brandon Aaron                            .          .                       
Filipe Fortes                 .                                             
Iraê Carvalho                 .                                             
John Resig           ---++++++++  ---++++++   ++++++++   ---+++++   ---+++++ 
Justin Meyer                             .                                  
Karl Swedberg                 .                                             
Matt Curry                    .                                             
Michael Monteleone            .                                             
Mike Alsup                    .                                           . 
Neeraj Singh                  .          .                                  
Noah Sloan                               .                                  
Paul Irish                    .                                             
Rick Waldron                  .                                             
Robert Katić                  .                                             
Tom Viner                                .                                  
Yehuda Katz                   .                                             
Modified Lines:            2841       4932       6629         16        353 

Author                  2010-07    2010-08    2010-09    2010-10    2010-11 
Adam J. Sontag                                                            . 
Alex Sexton                                                    .            
Anton Matzneller                                               .        +++ 
Brandon Aaron                                       .                       
Colin Snover                                        .      -++++          . 
Dan Heberden                                                   .          . 
Dave Methvin                                        .          .            
Dave Reed                    ++                     .                       
David Petersen                                      .                       
Heungsub Lee                                        .                       
J. Ryan Stinnett                                    .                       
Jacob Wright                                        .                       
Jephte Clain                                                   .          . 
John Resig                    .  ---++++++  ---++++++  ---++++++  ---++++++ 
Justin Meyer                                                   .            
Jörn Zaefferer         ----++++                                             
Karl Swedberg                                       .          .            
Louis-Rémi Babé                                     .          .            
Paul Irish                                                     .            
Pinhook                                                        .            
Rick Waldron                                                   .       ++++ 
Robert Katić                                        .                       
Ron Otten                                                      .            
Russell Holbrook                                                          . 
Scott González                                                 .            
Yehuda Katz                                                    .            
temp01                                              .                       
unknown                                             .                       
Modified Lines:             271        219       8421       1662        627 

Author                  2010-12    2011-01    2011-02    2011-03    2011-04 
Adam J. Sontag                           .                                  
Alex Sexton                   .          .          .                       
Alexander Farkas                                                          . 
