Statistical information for the repository 'django' was gathered on 2026/09/08.
The analyzed branch was 'main'.
The following historical commit information, by author, was found in the
repository:

Author                     Commits    Insertions      Deletions    % of changes
David Buhler                     1            18              4            0.00
David Chorpash                   1            15              1            0.00
David Cramer                     4            39             19            0.00
David D. Riddle                  1            11             13            0.00
David Danier                     1             2              2            0.00
David Evans                      4            42             31            0.00
David Fischer                    2            34              1            0.00
David Foster                     1            10              1            0.00
David Gibbons                    1            66              0            0.00
David Hoffman                    2            22             11            0.00
David Robles                     1             1              1            0.00
David Sanders                   48          1478            291            0.10
David Smith                    130          6579           2189            0.47
David Szotten                    4            65             25            0.00
David Winiecki                   2           163             12            0.01
David Wobrock                   72          5175           1143            0.34
David Wolever                    1            27              1            0.00
David-Wobrock                    9           360             82            0.02
Davide Ceretti                   2           308            273            0.03
Deep Sukhwani                    1             4              0            0.00
Dejan Noveski                    2            55             25            0.00
Demur Nodia                      2            34              6            0.00
Deni Bertovic                    1            16              0            0.00
Denis Cornehl                    5           334            127            0.02
Denis Moskalets                  1             8              4            0.00
Denis Rouzaud                    1            20              2            0.00
Denis Stebunov                   1             8              3            0.00
Denny Biasiolli                  3            87             11            0.01
Denys Duchier                    1            57              2            0.00
Derek J. Curtis                  1            13              1            0.00
Deric Crago                      1            29              1            0.00
Derrick Jackson                  1            34              0            0.00
DevilsAutumn                     9           434             53            0.03
Devin Cox                        3           129             11            0.01
Dhanush                          2            68             37            0.01
Dheerendra Rathor                3            15              4            0.00
DhruvaPatil98                    1            29              2            0.00
Diederik van der Boo             6           170             17            0.01
Diego Guimarães                 10           131            178            0.02
Diego Lima                       1             9              1            0.00
Diego Martín                     1            20              0            0.00
Dima Kudosh                      1            19              3            0.00
Dima Kurguzov                    1             1              1            0.00
Dinesh                           1            35              0            0.00
Dingning                         1           262             11            0.01
Dmitriy Sintsov                  1             3              1            0.00
Dmitro                           1             2              2            0.00
Dmitry                           1            11              5            0.00
Dmitry Dygalo                    7           192             44            0.01
Dmitry Gladkov                   1             5              4            0.00
Dmitry Medvinsky                 2            63              6            0.00
Dmitry S..ky / skype             1            13              6            0.00
Dmitry Shachnev                  2            24              9            0.00
Dmitry Shevchenko                1             1              1            0.00
Dohyeon Kim                      1            82             46            0.01
Dolan Antenucci                  1            32              0            0.00
Dominic Rodger                   1             7              2            0.00
